Post length,Number of posts
1,6
2,9
3,19
4,17
5,13
6,24
7,19
8,27
9,17
10,30
11,31
12,22
13,34
14,15
15,23
16,26
17,20
18,24
19,26
20,32
21,25
22,34
23,28
24,33
25,26
26,28
27,21
28,14
29,32
30,32
31,36
32,33
33,30
34,26
35,32
36,22
37,26
38,22
39,31
40,30
41,34
42,33
43,21
44,26
45,24
46,17
47,26
48,20
49,16
50,32
51,28
52,29
53,22
54,19
55,28
56,22
57,22
58,22
59,18
60,16
61,25
62,24
63,19
64,16
65,17
66,26
67,21
68,19
69,23
70,17
71,14
72,19
73,19
74,11
75,20
76,17
77,16
78,16
79,24
80,18
81,17
82,17
83,14
84,22
85,13
86,15
87,17
88,12
89,21
90,28
91,13
92,15
93,14
94,19
95,11
96,12
97,14
98,14
99,18
100,14
101,6
102,9
103,21
104,20
105,7
106,10
107,10
108,9
109,13
110,9
111,6
112,8
113,8
114,11
115,7
116,13
117,11
118,9
119,8
120,13
121,8
122,11
123,12
124,9
125,12
126,11
127,6
128,10
129,6
130,9
131,8
132,5
133,11
134,9
135,7
136,15
137,5
138,9
139,5
140,2
141,7
142,12
143,8
144,1
145,5
146,6
147,7
148,5
149,10
150,9
151,3
152,2
153,7
154,6
155,6
156,7
157,8
158,7
159,5
160,9
161,3
162,11
163,2
164,2
165,11
166,3
167,6
168,4
169,8
170,7
171,2
172,5
173,4
174,7
175,5
176,2
177,7
178,6
179,2
180,6
181,2
182,5
183,5
184,2
185,4
186,1
187,1
188,2
189,7
190,3
191,2
192,4
193,2
194,5
195,5
196,4
197,2
198,3
199,2
200,5
202,4
203,6
205,3
206,1
207,3
208,3
209,2
211,1
212,7
213,1
214,1
215,2
216,1
218,2
219,2
220,5
221,2
222,1
223,1
224,4
225,2
227,2
228,1
229,1
230,2
231,1
232,1
234,1
235,1
236,1
237,5
238,3
239,4
240,1
243,1
245,1
246,4
247,1
248,2
249,3
250,3
254,1
256,2
257,1
258,1
260,1
261,1
262,1
263,4
264,3
265,1
266,1
268,1
269,2
270,4
271,2
272,2
274,1
275,1
276,1
277,3
278,2
279,1
280,1
282,1
283,1
284,1
285,2
286,1
288,1
290,1
291,1
292,1
296,1
299,1
304,2
306,2
311,1
312,1
323,2
324,1
325,1
326,1
327,1
329,1
330,1
334,1
341,1
344,1
345,1
346,1
349,1
361,1
364,1
365,2
366,1
370,1
377,2
378,1
380,1
381,1
382,1
387,1
388,1
389,2
390,1
392,1
393,1
395,1
398,1
401,1
408,1
411,1
418,1
419,1
431,1
441,1
442,1
461,1
463,1
467,1
483,1
501,1
502,1
544,1
551,1
584,1
600,1
602,1
656,1
669,1
1012,1
1084,1
2140,1
