,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503
75,If,I'm,not,mistaken,the,zip,function,you,use,in,python,creates,a,pair,of,the,items,found,in,list1,and,list2,.,Basically,it,still,is,a,for,loop,with,the,addition,that,it,will,retrieve,the,data,from,the,two,seperate,lists,for,you,",",instead,that,you,have,to,do,it,yourself,.,So,maybe,your,best,option,is,to,use,a,standard,for,loop,like,this,:,or,whatever,you,have,to,do,with,the,data,.,If,you,really,are,talking,about,parallel,computing,then,you,should,take,a,look,at,the,Parallel,Computing,Toolbox,for,matlab,",",and,more,specifically,at,parfor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,A,plugin,for,GSview,for,viewing,encrypted,PDFs,is,here,.,If,this,works,for,you,",",you,may,be,able,to,look,at,the,source,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,If,I,remember,correctly,",",there,is,a,fixed,padding,string,of,32,(,?,),bytes,to,apply,to,any,password,.,All,passwords,need,to,be,32,bytes,at,the,start,of,computing,the,encryption,key,",",either,by,truncating,or,adding,some,of,those,padding,bytes,.,If,no,user,password,was,set,you,simply,have,to,pad,with,all,32,bytes,of,the,string,",",i,.,e,.,use,the,32,padding,bytes,as,the,starting,point,for,computing,the,encryption,key,.,I,have,to,admit,it's,been,a,while,since,I've,done,this,",",I,do,remember,that,the,encryption,part,of,the,PDF,is,an,absolute,mess,as,it,got,changed,significantly,in,nearly,every,revision,",",requiring,you,to,cope,with,a,lot,of,cases,to,handle,all,PDF's,.,Good,luck,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Although,the,PDF,specification,is,available,from,Adobe,",",it's,not,exactly,the,simplest,document,to,read,through,.,PDF,allows,documents,to,be,encrypted,so,that,either,a,user,password,and,/,or,an,owner,password,is,required,to,do,various,things,with,the,document,(,display,",",print,",",etc,),.,A,common,use,is,to,lock,a,PDF,so,that,end,users,can,read,it,without,entering,any,password,",",but,a,password,is,required,to,do,anything,else,.,I'm,trying,to,parse,PDFs,that,are,locked,in,this,way,(,to,get,the,same,privileges,as,you,would,get,opening,them,in,any,reader,),.,Using,an,empty,string,as,the,user,password,doesn't,work,",",but,it,seems,(,section,3.5.2,of,the,spec,),that,there,has,to,be,a,user,password,to,create,the,hash,for,the,admin,password,.,What,I,would,like,is,either,an,explanation,of,how,to,do,this,",",or,any,code,that,I,can,read,(,ideally,Python,",",C,",",or,C++,",",but,anything,readable,will,do,),that,does,this,so,that,I,can,understand,what,I'm,meant,to,be,doing,.,Standalone,code,",",rather,than,reading,through,(,e,.,g,.,),the,gsview,source,",",would,be,best,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,xpdf,is,probably,a,good,reference,implementation,for,this,sort,of,problem,.,I,have,successfully,used,them,to,open,encrypted,pdfs,before,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,List,comprehensions,.,I,often,find,myself,filtering,/,mapping,lists,",",and,being,able,to,say,[,line.replace(""spam"",""eggs""),for,line,in,open(""somefile.txt""),if,line.startswith(""nee""),],is,really,nice,.,Functions,are,first,class,objects,.,They,can,be,passed,as,parameters,to,other,functions,",",defined,inside,other,function,",",and,have,lexical,scope,.,This,makes,it,really,easy,to,say,things,like,people.sort(key=lambda p: p.age),and,thus,sort,a,bunch,of,people,on,their,age,without,having,to,define,a,custom,comparator,class,or,something,equally,verbose,.,Everything,is,an,object,.,Java,has,basic,types,which,aren't,objects,",",which,is,why,many,classes,in,the,standard,library,define,9,different,versions,of,functions,(,for,boolean,",",byte,",",char,",",double,",",float,",",int,",",long,",",Object,",",short,),.,Array.sort,is,a,good,example,.,Autoboxing,helps,",",although,it,makes,things,awkward,when,something,turns,out,to,be,null,.,Properties,.,Python,lets,you,create,classes,with,read-only,fields,",",lazily-generated,fields,",",as,well,as,fields,which,are,checked,upon,assignment,to,make,sure,they're,never,0,or,null,or,whatever,you,want,to,guard,against,",",etc,.,',Default,and,keyword,arguments,.,In,Java,if,you,want,a,constructor,that,can,take,up,to,5,optional,arguments,",",you,must,define,6,different,versions,of,that,constructor,.,And,there's,no,way,at,all,to,say,Student(name=""Eli"", age=25),Functions,can,only,return,1,thing,.,In,Python,you,have,tuple,assignment,",",so,you,can,say,spam,",",eggs,=,nee(),but,in,Java,you'd,need,to,either,resort,to,mutable,out,parameters,or,have,a,custom,class,with,2,fields,and,then,have,two,additional,lines,of,code,to,extract,those,fields,.,Built-in,syntax,for,lists,and,dictionaries,.,Operator,Overloading,.,Generally,better,designed,libraries,.,For,example,",",to,parse,an,XML,document,in,Java,",",you,say,Document,doc,=,DocumentBuilderFactory.newInstance().newDocumentBuilder().parse(""test.xml""),;,and,in,Python,you,say,doc,=,parse(""test.xml""),Anyway,",",I,could,go,on,and,on,with,further,examples,",",but,Python,is,just,overall,a,much,more,flexible,and,expressive,language,.,It's,also,dynamically,typed,",",which,I,really,like,",",but,which,comes,with,some,disadvantages,.,Java,has,much,better,performance,than,Python,and,has,way,better,tool,support,.,Sometimes,those,things,matter,a,lot,and,Java,is,the,better,language,than,Python,for,a,task,;,I,continue,to,use,Java,for,some,new,projects,despite,liking,Python,a,lot,more,.,But,as,a,language,I,think,Python,is,superior,for,most,things,I,find,myself,needing,to,accomplish,.
81,I,think,this,pair,of,articles,by,Philip,J,.,Eby,does,a,great,job,discussing,the,differences,between,the,two,languages,(,mostly,about,philosophy,/,mentality,rather,than,specific,language,features,),.,Python,is,Not,Java,Java,is,Not,Python,",",either,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,With,Jython,you,can,have,both,.,It's,only,at,Python,2.2,",",but,still,very,useful,if,you,need,an,embedded,interpreter,that,has,access,to,the,Java,runtime,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,One,key,difference,in,Python,is,significant,whitespace,.,This,puts,a,lot,of,people,off,-,me,too,for,a,long,time,-,but,once,you,get,going,it,seems,natural,and,makes,much,more,sense,than,;,s,everywhere,.,From,a,personal,perspective,",",Python,has,the,following,benefits,over,Java,:,No,Checked,Exceptions,Optional,Arguments,Much,less,boilerplate,and,less,verbose,generally,Other,than,those,",",this,page,on,the,Python,Wiki,is,a,good,place,to,look,with,lots,of,links,to,interesting,articles,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Besides,the,dynamic,nature,of,Python,(,and,the,syntax,),",",what,are,some,of,the,major,features,of,the,Python,language,that,Java,doesn't,have,",",and,vice,versa,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
