,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,"(""Don't"", 'NNP')","('rewrite', 'VB')","('it', 'PRP')","('-', ':')","('you', 'PRP')","('are', 'VBP')","('the', 'DT')","('only', 'JJ')","('customer', 'NN')","('and', 'CC')","('if', 'IN')","('the', 'DT')","('requirement', 'NN')","('is', 'VBZ')","('you', 'PRP')","('need', 'VBP')","('to', 'TO')","('run', 'VB')","('it', 'PRP')","('as', 'IN')","('classic', 'JJ')","('asp', 'NN')","(',', ',')","('you', 'PRP')","('can', 'MD')","('meet', 'VB')","('that', 'DT')","('requirement', 'NN')","('.', '.')",,,,,
1,"('quote_plus(string[, safe])', 'NNS')","('Like', 'IN')","('quote()', 'NN')","(',', ',')","('but', 'CC')","('also', 'RB')","('replaces', 'NNS')","('spaces', 'NNS')","('by', 'IN')","('plus', 'JJ')","('signs', 'NNS')","(',', ',')","('as', 'IN')","('required', 'VBN')","('for', 'IN')","('quoting', 'VBG')","('HTML', 'NNP')","('form', 'NN')","('values', 'NNS')","('.', '.')",,,,,,,,,,,,,,
2,"('Note', 'NN')","('that', 'IN')","('this', 'DT')","('is', 'VBZ')","('Py2.x', 'NNP')","('code', 'NN')","('I', 'PRP')","('answered', 'VBD')","('your', 'PRP$')","('question', 'NN')","('separately', 'RB')","(',', ',')","('but', 'CC')","('just', 'RB')","('for', 'IN')","('fun', 'NN')","(""here's"", 'PDT')","('a', 'DT')","('little', 'JJ')","('working', 'JJ')","('Rock', 'NNP')","(',', ',')","('Paper', 'NNP')","(',', ',')","('Scissors', 'NNP')","('game', 'NN')","('to', 'TO')","('look', 'VB')","('at', 'IN')","('.', '.')",,,,
3,"('There', 'EX')","('is', 'VBZ')","('no', 'DT')","('moveToThread()', 'NN')","('for', 'IN')","('processes', 'NNS')","('since', 'IN')","('a', 'DT')","('process', 'NN')","('lives', 'VBZ')","('in', 'IN')","('its', 'PRP$')","('own', 'JJ')","('memory', 'NN')","('space', 'NN')","(',', ',')","('so', 'IN')","('it', 'PRP')","('cannot', 'VBZ')","('see', 'VB')","('MainWindow', 'NNP')","('or', 'CC')","('any', 'DT')","('of', 'IN')","('it', 'PRP')","('members', 'NNS')","('.', '.')",,,,,,,
4,"('To', 'TO')","('fix', 'VB')","('this', 'DT')","('you', 'PRP')","('can', 'MD')","('declare', 'VB')","('first', 'JJ')","('to', 'TO')","('be', 'VB')","('global', 'JJ')","('within', 'IN')","('the', 'DT')","('reverse()', 'NN')","('function', 'NN')","(',', ',')","('but', 'CC')","('as', 'IN')","('others', 'NNS')","('have', 'VBP')","('said', 'VBD')","(',', ',')","('globals', 'NNS')","('should', 'MD')","('be', 'VB')","('avoided', 'VBN')","('when', 'WRB')","('possible', 'JJ')","('.', '.')",,,,,,
5,"(""I'm"", 'NNP')","('using', 'VBG')","('the', 'DT')","('python', 'NN')","('compiler', 'NN')","('in', 'IN')","('java', 'NN')","('and', 'CC')","('I', 'PRP')","('tried', 'VBD')","('import os', 'NN')","('.', '.')",,,,,,,,,,,,,,,,,,,,,,
6,"(""I'm"", 'NNP')","('not', 'RB')","('sure', 'JJ')","('why', 'WRB')","('this', 'DT')","('would', 'MD')","('fail', 'VB')","('with', 'IN')","('[', 'JJ')","('0:56', 'CD')","(']', 'JJ')","('instead', 'RB')","('of', 'IN')","('[', 'JJ')","('0:57', 'CD')","(']', 'NN')","('but', 'CC')","(""I'll"", 'NNP')","('leave', 'VBP')","('that', 'IN')","('as', 'IN')","('an', 'DT')","('exercise', 'NN')","('for', 'IN')","('the', 'DT')","('reader', 'NN')","(':', ':')","('P', 'VB')","('Your', 'PRP$')","('code', 'NN')","('looks', 'VBZ')","('quite', 'RB')","('complicated', 'VBN')","('.', '.')"
7,"('After', 'IN')","('installation', 'NN')","('you', 'PRP')","('need', 'VBP')","('to', 'TO')","('create', 'VB')","('a', 'DT')","('file', 'NN')","('called', 'VBN')","('flaskr.db', 'NN')","(',', ',')","('location', 'NN')","('of', 'IN')","('this', 'DT')","('file', 'NN')","('is', 'VBZ')","('to', 'TO')","('be', 'VB')","('/', 'JJ')","('myproject', 'JJ')","('/', 'NNP')","('venv', 'NN')","('/', 'NNP')","('bin', 'NN')","('/', 'NNP')","('flaskr', 'NN')","('/', 'NNP')","('tmp', 'NN')","('.', '.')",,,,,
8,"('Edit', 'NN')","('1', 'CD')","(',', ',')","('fix', 'VBP')","('an', 'DT')","('issue', 'NN')","(',', ',')","('which', 'WDT')","('is', 'VBZ')","('pointed', 'VBN')","('by', 'IN')","('j_random_hacker', 'NN')","('.', '.')",,,,,,,,,,,,,,,,,,,,,
9,"('Now', 'RB')","('if', 'IN')","('you', 'PRP')","('execute', 'VBP')","('the', 'DT')","('code', 'NN')","('snippet', 'NN')","('below', 'IN')","('you', 'PRP')","('can', 'MD')","('see', 'VB')","('that', 'IN')","('the', 'DT')","('app', 'NN')","('window', 'VBP')","(""won't"", 'NN')","('close', 'RB')","('.', '.')",,,,,,,,,,,,,,,,
